N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
100,all,30,1.0000,30,1227.1,3000.0,40.9,49.54,54.88,3.55,107.97,99,4,0,3194,NVDEC
100,all,30,0.6667,45,1273.0,3000.0,42.4,48.15,41.23,3.05,92.43,99,4,0,1528,NVDEC
100,all,30,0.5000,60,1252.8,3000.0,41.8,48.23,31.37,2.84,82.44,99,3,0,1179,NVDEC
100,all,30,0.3333,90,1262.9,3000.0,42.1,49.17,23.33,2.72,75.22,99,3,0,1084,NVDEC
100,all,30,0.2000,150,1262.5,3000.0,42.1,47.76,14.64,2.52,64.92,99,2,0,440,NVDEC
1,key15,15,2.0000,1,2.0,2.0,100.0,0.04,0.02,1.97,2.03,0,0,0,56,none(offered-bound)
1,key15,15,1.0000,2,2.0,2.0,100.0,0.05,0.02,2.17,2.24,0,0,0,37,none(offered-bound)
1,key15,15,0.6667,3,2.0,2.0,100.0,0.05,0.02,2.15,2.22,0,0,0,17,none(offered-bound)
1,key15,15,0.5000,4,2.0,2.0,100.0,0.05,0.02,2.09,2.16,0,0,0,11,none(offered-bound)
1,key15,15,0.3333,6,2.0,2.0,100.0,0.06,0.02,2.28,2.36,0,0,0,14,none(offered-bound)
1,key15,15,0.2500,8,1.9,2.0,95.0,0.06,0.03,2.22,2.31,0,0,0,6,none(offered-bound)
1,key15,15,0.1667,12,1.9,2.0,95.0,0.07,0.02,2.08,2.17,0,0,0,2,none(offered-bound)
1,key15,15,0.1333,15,2.0,2.0,100.0,0.08,0.02,2.41,2.51,0,0,0,4,none(offered-bound)
1,key15,15,0.0833,24,2.0,2.0,100.0,0.10,0.02,2.37,2.49,0,0,0,1,none(offered-bound)
1,key15,15,0.0667,30,2.0,2.0,100.0,0.12,0.02,2.24,2.38,0,0,0,0,none(offered-bound)
4,key15,15,2.0000,1,7.8,8.0,97.5,0.04,0.02,1.90,1.96,1,2,0,190,none(offered-bound)
4,key15,15,1.0000,2,7.8,8.0,97.5,0.04,0.02,1.96,2.02,1,2,0,127,none(offered-bound)
4,key15,15,0.6667,3,7.8,8.0,97.5,0.04,0.02,2.01,2.07,1,0,0,84,none(offered-bound)
4,key15,15,0.5000,4,7.8,8.0,97.5,0.05,0.02,1.97,2.04,1,0,0,46,none(offered-bound)
4,key15,15,0.3333,6,7.8,8.0,97.5,0.05,0.02,2.00,2.07,1,0,0,33,none(offered-bound)
4,key15,15,0.2500,8,7.8,8.0,97.5,0.05,0.04,2.12,2.21,1,0,0,34,none(offered-bound)
4,key15,15,0.1667,12,7.8,8.0,97.5,0.05,0.02,1.97,2.04,1,0,0,11,none(offered-bound)
4,key15,15,0.1333,15,7.8,8.0,97.5,0.05,0.02,1.99,2.06,1,0,0,11,none(offered-bound)
4,key15,15,0.0833,24,7.8,8.0,97.5,0.06,0.02,2.19,2.27,1,0,0,11,none(offered-bound)
4,key15,15,0.0667,30,7.8,8.0,97.5,0.06,0.02,2.12,2.20,1,0,0,6,none(offered-bound)
8,key15,15,2.0000,1,15.7,16.0,98.1,0.04,0.02,1.89,1.95,2,3,0,360,none(offered-bound)
8,key15,15,1.0000,2,15.6,16.0,97.5,0.04,0.02,1.88,1.94,2,2,0,193,none(offered-bound)
8,key15,15,0.6667,3,15.6,16.0,97.5,0.04,0.02,2.00,2.06,2,0,0,198,none(offered-bound)
8,key15,15,0.5000,4,15.6,16.0,97.5,0.04,0.02,1.95,2.01,2,1,0,92,none(offered-bound)
8,key15,15,0.3333,6,15.6,16.0,97.5,0.04,0.02,1.97,2.03,2,0,0,61,none(offered-bound)
8,key15,15,0.2500,8,15.6,16.0,97.5,0.05,0.02,1.97,2.04,2,0,0,53,none(offered-bound)
8,key15,15,0.1667,12,15.6,16.0,97.5,0.05,0.02,2.07,2.14,2,0,0,41,none(offered-bound)
8,key15,15,0.1333,15,15.7,16.0,98.1,0.05,0.02,2.03,2.10,1,0,0,23,none(offered-bound)
8,key15,15,0.0833,24,15.6,16.0,97.5,0.05,0.02,2.04,2.11,1,0,0,16,none(offered-bound)
8,key15,15,0.0667,30,15.6,16.0,97.5,0.06,0.02,2.08,2.16,1,0,0,8,none(offered-bound)
16,key15,15,2.0000,1,31.2,32.0,97.5,0.04,0.02,1.88,1.94,4,6,0,732,none(offered-bound)
16,key15,15,1.0000,2,31.2,32.0,97.5,0.04,0.02,1.92,1.98,4,3,0,379,none(offered-bound)
16,key15,15,0.6667,3,31.2,32.0,97.5,0.04,0.02,1.89,1.95,3,2,0,280,none(offered-bound)
16,key15,15,0.5000,4,31.0,32.0,96.9,0.04,0.02,1.99,2.05,3,2,0,278,none(offered-bound)
16,key15,15,0.3333,6,31.2,32.0,97.5,0.04,0.02,1.93,1.99,3,1,0,115,none(offered-bound)
16,key15,15,0.2500,8,31.2,32.0,97.5,0.04,0.02,1.93,1.99,3,1,0,90,none(offered-bound)
16,key15,15,0.1667,12,31.2,32.0,97.5,0.04,0.02,2.08,2.14,3,0,0,97,none(offered-bound)
16,key15,15,0.1333,15,31.2,32.0,97.5,0.05,0.02,2.02,2.09,4,0,0,49,none(offered-bound)
16,key15,15,0.0833,24,31.2,32.0,97.5,0.05,0.02,2.00,2.07,3,0,0,28,none(offered-bound)
16,key15,15,0.0667,30,31.2,32.0,97.5,0.05,0.02,2.03,2.10,3,0,0,26,none(offered-bound)
32,key15,15,2.0000,1,62.4,64.0,97.5,0.13,0.08,1.99,2.20,6,9,0,2292,none(offered-bound)
32,key15,15,1.0000,2,62.4,64.0,97.5,0.04,0.03,1.89,1.96,6,3,0,716,none(offered-bound)
32,key15,15,0.6667,3,62.3,64.0,97.3,0.05,0.04,1.88,1.97,7,3,0,458,none(offered-bound)
32,key15,15,0.5000,4,62.0,64.0,96.9,0.11,0.03,2.00,2.14,7,2,0,627,none(offered-bound)
32,key15,15,0.3333,6,62.3,64.0,97.3,0.04,0.02,1.92,1.98,7,2,0,256,none(offered-bound)
32,key15,15,0.2500,8,62.3,64.0,97.3,0.04,0.02,1.93,1.99,7,1,0,181,none(offered-bound)
32,key15,15,0.1667,12,62.3,64.0,97.3,0.14,0.04,1.93,2.11,7,1,0,138,none(offered-bound)
32,key15,15,0.1333,15,62.0,64.0,96.9,0.19,0.02,2.05,2.26,6,0,0,149,none(offered-bound)
