N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
4,key30,30,0.0667,15,3.8,4.0,95.0,0.13,0.02,2.25,2.40,0,0,0,7,none(offered-bound)
8,key30,30,1.0000,1,7.7,8.0,96.2,0.10,0.02,1.93,2.05,6,2,0,200,none(offered-bound)
8,key30,30,0.5000,2,7.6,8.0,95.0,0.10,0.02,1.87,1.99,5,1,0,73,none(offered-bound)
8,key30,30,0.3333,3,7.6,8.0,95.0,0.11,0.02,2.06,2.19,0,0,0,103,none(offered-bound)
8,key30,30,0.2500,4,7.6,8.0,95.0,0.11,0.02,2.01,2.14,0,0,0,55,none(offered-bound)
8,key30,30,0.1667,6,7.7,8.0,96.2,0.11,0.02,2.02,2.15,4,0,0,29,none(offered-bound)
8,key30,30,0.1250,8,7.6,8.0,95.0,0.11,0.02,2.06,2.19,5,0,0,32,none(offered-bound)
8,key30,30,0.0833,12,7.6,8.0,95.0,0.11,0.02,2.22,2.35,5,0,0,21,none(offered-bound)
8,key30,30,0.0667,15,7.8,8.0,97.5,0.12,0.02,2.16,2.30,5,0,0,9,none(offered-bound)
16,key30,30,1.0000,1,15.2,16.0,95.0,0.10,0.02,1.87,1.99,11,4,0,340,none(offered-bound)
16,key30,30,0.5000,2,15.2,16.0,95.0,0.10,0.02,2.03,2.15,11,2,0,326,none(offered-bound)
16,key30,30,0.3333,3,15.2,16.0,95.0,0.10,0.02,1.93,2.05,6,0,0,130,none(offered-bound)
16,key30,30,0.2500,4,15.5,16.0,96.9,0.10,0.02,1.93,2.05,5,0,0,85,none(offered-bound)
16,key30,30,0.1667,6,15.2,16.0,95.0,0.10,0.02,1.98,2.10,6,0,0,75,none(offered-bound)
16,key30,30,0.1250,8,15.2,16.0,95.0,0.11,0.02,2.11,2.24,10,0,0,76,none(offered-bound)
16,key30,30,0.0833,12,15.5,16.0,96.9,0.11,0.02,2.01,2.14,11,0,0,28,none(offered-bound)
16,key30,30,0.0667,15,15.2,16.0,95.0,0.11,0.02,2.05,2.18,10,0,0,28,none(offered-bound)
32,key30,30,1.0000,1,30.4,32.0,95.0,0.10,0.02,2.01,2.13,16,5,0,1225,none(offered-bound)
32,key30,30,0.5000,2,30.4,32.0,95.0,0.10,0.01,1.91,2.02,20,2,0,373,none(offered-bound)
32,key30,30,0.3333,3,30.8,32.0,96.2,0.10,0.03,1.92,2.05,16,2,0,249,none(offered-bound)
32,key30,30,0.2500,4,30.4,32.0,95.0,0.30,0.02,1.99,2.31,17,2,0,277,none(offered-bound)
32,key30,30,0.1667,6,30.4,32.0,95.0,0.10,0.02,2.05,2.17,17,2,0,180,none(offered-bound)
32,key30,30,0.1250,8,30.8,32.0,96.2,0.10,0.02,1.99,2.11,17,0,0,95,none(offered-bound)
32,key30,30,0.0833,12,30.5,32.0,95.3,0.11,0.02,2.03,2.16,17,0,0,74,none(offered-bound)
32,key30,30,0.0667,15,30.4,32.0,95.0,0.11,0.02,2.14,2.27,17,0,0,80,none(offered-bound)
50,key30,30,1.0000,1,23.7,50.0,47.4,2.14,1.95,1.95,6.04,30,8,7830,1113,VRAM-OOM
50,key30,30,0.5000,2,24.4,50.0,48.8,1.63,1.33,2.01,4.97,22,4,7830,753,VRAM-OOM
50,key30,30,0.3333,3,24.3,50.0,48.6,0.73,0.62,1.96,3.31,28,3,7830,344,VRAM-OOM
50,key30,30,0.2500,4,24.3,50.0,48.6,0.76,0.45,2.05,3.26,28,2,0,409,VRAM-OOM
50,key30,30,0.1667,6,28.4,50.0,56.8,1.19,0.23,1.98,3.40,24,3,0,163,VRAM-OOM
50,key30,30,0.1250,8,24.6,50.0,49.2,0.91,0.06,2.07,3.04,15,0,0,170,VRAM-OOM
50,key30,30,0.0833,12,27.3,50.0,54.6,0.12,0.02,2.02,2.16,28,0,0,90,VRAM-OOM
50,key30,30,0.0667,15,27.4,50.0,54.8,1.14,0.08,2.12,3.34,22,0,0,90,VRAM-OOM
75,key30,30,1.0000,1,37.1,75.0,49.5,38.51,22.18,2.21,62.90,12,4,0,997,VRAM-OOM
75,key30,30,0.5000,2,39.7,75.0,52.9,29.41,22.35,2.17,53.93,25,5,0,395,VRAM-OOM
75,key30,30,0.3333,3,40.0,75.0,53.3,20.20,7.64,2.33,30.17,26,4,0,534,VRAM-OOM
75,key30,30,0.2500,4,30.9,75.0,41.2,3.21,2.72,2.03,7.96,29,3,0,332,VRAM-OOM
75,key30,30,0.1667,6,30.9,75.0,41.2,2.82,0.33,2.10,5.25,21,2,0,272,VRAM-OOM
75,key30,30,0.1250,8,31.4,75.0,41.9,2.74,2.65,2.08,7.47,30,2,0,157,VRAM-OOM
75,key30,30,0.0833,12,31.1,75.0,41.5,2.60,1.04,2.14,5.78,31,2,0,100,VRAM-OOM
75,key30,30,0.0667,15,32.4,75.0,43.2,2.01,0.67,2.17,4.85,31,4,0,61,VRAM-OOM
100,key30,30,1.0000,1,34.4,100.0,34.4,17.68,22.05,2.19,41.92,31,14,0,1161,VRAM-OOM
